tradingsymbol,exchange
CANBK,NSE
BANKINDIA,NSE
UNIONBANK,NSE
SYNDIBANK,NSE
ALBK,NSE
BANKBARODA,NSE
PNB,NSE
ORIENTBANK,NSE
INDIANB,NSE
SBIN,NSE
J&KBANK,NSE
CENTRALBK,NSE
