tradingsymbol,exchange
LUPIN,NSE
BIOCON,NSE
DIVISLAB,NSE
SUNPHARMA,NSE
CIPLA,NSE
AUROPHARMA,NSE
PEL,NSE
CADILAHC,NSE
DRREDDY,NSE
GLENMARK,NSE
