tradingsymbol,exchange
MCDOWELL-N,NSE
COLPAL,NSE
ITC,NSE
HINDUNILVR,NSE
DABUR,NSE
UBL,NSE
GODREJCP,NSE
PGHH,NSE
GSKCONS,NSE
JUBLFOOD,NSE
GODREJIND,NSE
BRITANNIA,NSE
TATAGLOBAL,NSE
MARICO,NSE
EMAMILTD,NSE
