tradingsymbol,exchange
IBREALEST,NSE
PRESTIGE,NSE
DLF,NSE
BRIGADE,NSE
OBEROIRLTY,NSE
PHOENIXLTD,NSE
SUNTECK,NSE
MAHLIFE,NSE
SOBHA,NSE
GODREJPROP,NSE
