tradingsymbol,exchange
IOC,NSE
TATAPOWER,NSE
BPCL,NSE
HINDPETRO,NSE
RELIANCE,NSE
NTPC,NSE
GAIL,NSE
POWERGRID,NSE
ONGC,NSE
RELINFRA,NSE
