tradingsymbol,exchange
ASHOKLEY,NSE
TATAMOTORS,NSE
BAJAJ-AUTO,NSE
HEROMOTOCO,NSE
MARUTI,NSE
EICHERMOT,NSE
MOTHERSUMI,NSE
BHARATFORG,NSE
EXIDEIND,NSE
TVSMOTOR,NSE
M&M,NSE
AMARAJABAT,NSE
BOSCHLTD,NSE
APOLLOTYRE,NSE
MRF,NSE
