tradingsymbol,exchange
COALINDIA,NSE
IOC,NSE
NATIONALUM,NSE
VEDL,NSE
TATAPOWER,NSE
BPCL,NSE
HINDALCO,NSE
HINDPETRO,NSE
TATASTEEL,NSE
RELIANCE,NSE
ACC,NSE
HINDZINC,NSE
JSWSTEEL,NSE
NTPC,NSE
AMBUJACEM,NSE
SHREECEM,NSE
GRASIM,NSE
JINDALSTEL,NSE
SAIL,NSE
ULTRACEMCO,NSE
ONGC,NSE
OIL,NSE
UPL,NSE
PIDILITIND,NSE
RAMCOCEM,NSE
NHPC,NSE
TATACHEM,NSE
PIIND,NSE
NMDC,NSE
RELINFRA,NSE
